country,date,sector,value,timestamp
China,13-01-2019,Domestic Aviation,0.162084,1547337600
China,13-01-2019,International Aviation,0.0834255,1547337600
EU27 & UK,13-01-2019,Domestic Aviation,0.0366559,1547337600
EU27 & UK,13-01-2019,International Aviation,0.451675,1547337600
France,13-01-2019,Domestic Aviation,0.00442702,1547337600
France,13-01-2019,International Aviation,0.0530586,1547337600
Germany,13-01-2019,Domestic Aviation,0.00422419,1547337600
Germany,13-01-2019,International Aviation,0.0721419,1547337600
India,13-01-2019,Domestic Aviation,0.0204254,1547337600
India,13-01-2019,International Aviation,0.0364697,1547337600
Italy,13-01-2019,Domestic Aviation,0.0043871,1547337600
Italy,13-01-2019,International Aviation,0.0354202,1547337600
Japan,13-01-2019,Domestic Aviation,0.0244318,1547337600
Japan,13-01-2019,International Aviation,0.051872,1547337600
ROW,13-01-2019,Domestic Aviation,0.169376,1547337600
ROW,13-01-2019,International Aviation,0.784001,1547337600
Russia,13-01-2019,Domestic Aviation,0.0375557,1547337600
Russia,13-01-2019,International Aviation,0.0322592,1547337600
Spain,13-01-2019,Domestic Aviation,0.0140476,1547337600
Spain,13-01-2019,International Aviation,0.0606333,1547337600
United Kingdom,13-01-2019,Domestic Aviation,0.00480087,1547337600
United Kingdom,13-01-2019,International Aviation,0.0874279,1547337600
United States,13-01-2019,Domestic Aviation,0.361002,1547337600
United States,13-01-2019,International Aviation,0.2174,1547337600
WORLD,13-01-2019,Domestic Aviation,0.841174,1547337600
WORLD,13-01-2019,International Aviation,1.67817,1547337600
Brazil,14-01-2019,Domestic Aviation,0.0327461,1547424000
Brazil,14-01-2019,International Aviation,0.02029,1547424000
China,14-01-2019,Domestic Aviation,0.16817,1547424000
China,14-01-2019,International Aviation,0.0801648,1547424000
EU27 & UK,14-01-2019,Domestic Aviation,0.0445252,1547424000
EU27 & UK,14-01-2019,International Aviation,0.420691,1547424000
France,14-01-2019,Domestic Aviation,0.00621887,1547424000
France,14-01-2019,International Aviation,0.04547,1547424000
Germany,14-01-2019,Domestic Aviation,0.00642825,1547424000
Germany,14-01-2019,International Aviation,0.0675311,1547424000
India,14-01-2019,Domestic Aviation,0.0206007,1547424000
India,14-01-2019,International Aviation,0.0326804,1547424000
Italy,14-01-2019,Domestic Aviation,0.00487339,1547424000
Italy,14-01-2019,International Aviation,0.0311303,1547424000
Japan,14-01-2019,Domestic Aviation,0.0247213,1547424000
Japan,14-01-2019,International Aviation,0.0495043,1547424000
ROW,14-01-2019,Domestic Aviation,0.182863,1547424000
ROW,14-01-2019,International Aviation,0.748949,1547424000
Russia,14-01-2019,Domestic Aviation,0.0382832,1547424000
Russia,14-01-2019,International Aviation,0.0300709,1547424000
Spain,14-01-2019,Domestic Aviation,0.0144245,1547424000
Spain,14-01-2019,International Aviation,0.0503722,1547424000
United Kingdom,14-01-2019,Domestic Aviation,0.0067234,1547424000
United Kingdom,14-01-2019,International Aviation,0.0829361,1547424000
United States,14-01-2019,Domestic Aviation,0.42729,1547424000
United States,14-01-2019,International Aviation,0.21259,1547424000
WORLD,14-01-2019,Domestic Aviation,0.939199,1547424000
WORLD,14-01-2019,International Aviation,1.59494,1547424000
Brazil,15-01-2019,Domestic Aviation,0.0335079,1547510400
Brazil,15-01-2019,International Aviation,0.0199478,1547510400
China,15-01-2019,Domestic Aviation,0.168458,1547510400
China,15-01-2019,International Aviation,0.0799721,1547510400
EU27 & UK,15-01-2019,Domestic Aviation,0.03979,1547510400
EU27 & UK,15-01-2019,International Aviation,0.376984,1547510400
France,15-01-2019,Domestic Aviation,0.00576797,1547510400
France,15-01-2019,International Aviation,0.0430755,1547510400
Germany,15-01-2019,Domestic Aviation,0.00451756,1547510400
Germany,15-01-2019,International Aviation,0.0564615,1547510400
India,15-01-2019,Domestic Aviation,0.0204117,1547510400
India,15-01-2019,International Aviation,0.0339744,1547510400
Italy,15-01-2019,Domestic Aviation,0.00445419,1547510400
Italy,15-01-2019,International Aviation,0.027957,1547510400
Japan,15-01-2019,Domestic Aviation,0.0243836,1547510400
Japan,15-01-2019,International Aviation,0.0493479,1547510400
ROW,15-01-2019,Domestic Aviation,0.180921,1547510400
ROW,15-01-2019,International Aviation,0.715575,1547510400
Russia,15-01-2019,Domestic Aviation,0.0349651,1547510400
Russia,15-01-2019,International Aviation,0.0308319,1547510400
Spain,15-01-2019,Domestic Aviation,0.0131054,1547510400
Spain,15-01-2019,International Aviation,0.0463971,1547510400
United Kingdom,15-01-2019,Domestic Aviation,0.00617631,1547510400
United Kingdom,15-01-2019,International Aviation,0.0778678,1547510400
United States,15-01-2019,Domestic Aviation,0.448884,1547510400
United States,15-01-2019,International Aviation,0.203441,1547510400
WORLD,15-01-2019,Domestic Aviation,0.951321,1547510400
WORLD,15-01-2019,International Aviation,1.51007,1547510400
Brazil,16-01-2019,Domestic Aviation,0.0288488,1547596800
Brazil,16-01-2019,International Aviation,0.0182649,1547596800
China,16-01-2019,Domestic Aviation,0.134974,1547596800
China,16-01-2019,International Aviation,0.0688732,1547596800
EU27 & UK,16-01-2019,Domestic Aviation,0.0371445,1547596800
EU27 & UK,16-01-2019,International Aviation,0.324144,1547596800
France,16-01-2019,Domestic Aviation,0.00533689,1547596800
France,16-01-2019,International Aviation,0.0343662,1547596800
Germany,16-01-2019,Domestic Aviation,0.00575236,1547596800
Germany,16-01-2019,International Aviation,0.0520558,1547596800
India,16-01-2019,Domestic Aviation,0.0170596,1547596800
India,16-01-2019,International Aviation,0.0321283,1547596800
Italy,16-01-2019,Domestic Aviation,0.00390645,1547596800
Italy,16-01-2019,International Aviation,0.0244452,1547596800
Japan,16-01-2019,Domestic Aviation,0.0193988,1547596800
Japan,16-01-2019,International Aviation,0.0416587,1547596800
ROW,16-01-2019,Domestic Aviation,0.155086,1547596800
ROW,16-01-2019,International Aviation,0.638011,1547596800
Russia,16-01-2019,Domestic Aviation,0.0312246,1547596800
Russia,16-01-2019,International Aviation,0.0229674,1547596800
Spain,16-01-2019,Domestic Aviation,0.0118741,1547596800
Spain,16-01-2019,International Aviation,0.040466,1547596800
United Kingdom,16-01-2019,Domestic Aviation,0.00539885,1547596800
United Kingdom,16-01-2019,International Aviation,0.0644856,1547596800
United States,16-01-2019,Domestic Aviation,0.407555,1547596800
United States,16-01-2019,International Aviation,0.176528,1547596800
WORLD,16-01-2019,Domestic Aviation,0.831291,1547596800
WORLD,16-01-2019,International Aviation,1.32258,1547596800
Brazil,17-01-2019,Domestic Aviation,0.0328581,1547683200
Brazil,17-01-2019,International Aviation,0.0194897,1547683200
China,17-01-2019,Domestic Aviation,0.168657,1547683200
China,17-01-2019,International Aviation,0.0837096,1547683200
EU27 & UK,17-01-2019,Domestic Aviation,0.0449326,1547683200
EU27 & UK,17-01-2019,International Aviation,0.403999,1547683200
France,17-01-2019,Domestic Aviation,0.00630527,1547683200
France,17-01-2019,International Aviation,0.044262,1547683200
Germany,17-01-2019,Domestic Aviation,0.00689436,1547683200
Germany,17-01-2019,International Aviation,0.0670068,1547683200
India,17-01-2019,Domestic Aviation,0.0207599,1547683200
India,17-01-2019,International Aviation,0.0346317,1547683200
Italy,17-01-2019,Domestic Aviation,0.00471037,1547683200
Italy,17-01-2019,International Aviation,0.0293454,1547683200
Japan,17-01-2019,Domestic Aviation,0.0239024,1547683200
Japan,17-01-2019,International Aviation,0.0502684,1547683200
ROW,17-01-2019,Domestic Aviation,0.184827,1547683200
ROW,17-01-2019,International Aviation,0.734703,1547683200
Russia,17-01-2019,Domestic Aviation,0.0349705,1547683200
Russia,17-01-2019,International Aviation,0.0297201,1547683200
Spain,17-01-2019,Domestic Aviation,0.0139131,1547683200
Spain,17-01-2019,International Aviation,0.0480617,1547683200
United Kingdom,17-01-2019,Domestic Aviation,0.00707702,1547683200
United Kingdom,17-01-2019,International Aviation,0.0801287,1547683200
United States,17-01-2019,Domestic Aviation,0.470407,1547683200
United States,17-01-2019,International Aviation,0.20842,1547683200
